paperId,url,title,abstract,venue,year,referenceCount,citationCount,authors
06c94251e4502c483dc918f189f788e57172c14c,https://www.semanticscholar.org/paper/06c94251e4502c483dc918f189f788e57172c14c,NoMIRACL: Knowing When You Don't Know for Robust Multilingual Retrieval-Augmented Generation,"Retrieval-augmented generation (RAG) grounds large language model (LLM) output by leveraging external knowledge sources to reduce factual hallucinations. However, prior works lack a comprehensive evaluation of different language families, making it challenging to evaluate LLM robustness against errors in external retrieved knowledge. To overcome this, we establish NoMIRACL, a human-annotated dataset for evaluating LLM robustness in RAG across 18 typologically diverse languages. NoMIRACL includes both a non-relevant and a relevant subset. Queries in the non-relevant subset contain passages judged as non-relevant, whereas queries in the relevant subset include at least a single judged relevant passage. We measure LLM robustness using two metrics: (i) hallucination rate, measuring model tendency to hallucinate an answer, when the answer is not present in passages in the non-relevant subset, and (ii) error rate, measuring model inaccuracy to recognize relevant passages in the relevant subset. In our work, we measure robustness for a wide variety of multilingual-focused LLMs and observe that most of the models struggle to balance the two capacities. Models such as LLAMA-2, Orca-2, and FLAN-T5 observe more than an 88% hallucination rate on the non-relevant subset, whereas, Mistral overall hallucinates less, but can achieve up to a 74.9% error rate on the relevant subset. Overall, GPT-4 is observed to provide the best tradeoff on both subsets, highlighting future work necessary to improve LLM robustness.",arXiv.org,2023.0,58,3,"[{'authorId': '47583894', 'name': 'Nandan Thakur'}, {'authorId': '2275196928', 'name': 'Luiz Bonifacio'}, {'authorId': '2118895402', 'name': 'Xinyu Crystina Zhang'}, {'authorId': '2166106776', 'name': 'Odunayo Ogundepo'}, {'authorId': '2023642', 'name': 'Ehsan Kamalloo'}, {'authorId': '1419474794', 'name': 'David Alfonso-Hermelo'}, {'authorId': '2238110973', 'name': 'Xiaoguang Li'}, {'authorId': '2275118289', 'name': 'Qun Liu'}, {'authorId': '2237517964', 'name': 'Boxing Chen'}, {'authorId': '2066076226', 'name': 'Mehdi Rezagholizadeh'}, {'authorId': '145580839', 'name': 'Jimmy J. Lin'}]"
147af99d852c516e16d90b128504a43c82ceffb8,https://www.semanticscholar.org/paper/147af99d852c516e16d90b128504a43c82ceffb8,"""Low-Resource"" Text Classification: A Parameter-Free Classification Method with Compressors",,Annual Meeting of the Association for Computational Linguistics,2023.0,0,19,"[{'authorId': '2223324062', 'name': 'Zhiying Jiang'}, {'authorId': '2168609903', 'name': 'Matthew Y. R. Yang'}, {'authorId': '2197480639', 'name': 'Mikhail Tsirlin'}, {'authorId': '26917433', 'name': 'Raphael Tang'}, {'authorId': '5613954', 'name': 'Yiqin Dai'}, {'authorId': '145580839', 'name': 'Jimmy J. Lin'}]"
17abec01047a09c1c57a8150957e1980e618d043,https://www.semanticscholar.org/paper/17abec01047a09c1c57a8150957e1980e618d043,AToMiC: An Image/Text Retrieval Test Collection to Support Multimedia Content Creation,"This paper presents the AToMiC (Authoring Tools for Multi media Content) dataset, designed to advance research in image/text cross-modal retrieval. While vision--language pretrained transformers have led to significant improvements in retrieval effectiveness, existing research has relied on image-caption datasets that feature only simplistic image--text relationships and underspecified user models of retrieval tasks. To address the gap between these oversimplified settings and real-world applications for multimedia content creation, we introduce a new approach for building retrieval test collections. We leverage hierarchical structures and diverse domains of texts, styles, and types of images, as well as large-scale image--document associations embedded in Wikipedia. We formulate two tasks based on a realistic user model and validate our dataset through retrieval experiments using baseline models. AToMiC offers a testbed for scalable, diverse, and reproducible multimedia retrieval research. Finally, our dataset provides the basis for a dedicated track at the 2023 Text Retrieval Conference (TREC), and is publicly available at https://github.com/TREC-AToMiC/AToMiC.",Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,2023.0,58,4,"[{'authorId': '2109723027', 'name': 'Jheng-Hong Yang'}, {'authorId': '2131640257', 'name': 'Carlos Lassance'}, {'authorId': '147961332', 'name': 'Rafael Sampaio de Rezende'}, {'authorId': '1391084712', 'name': 'Krishna Srinivasan'}, {'authorId': '2109913', 'name': 'Miriam Redi'}, {'authorId': '2207074', 'name': 'S. Clinchant'}, {'authorId': '145580839', 'name': 'Jimmy J. Lin'}]"
20a7b1e274aff828466bba3760992aa54e14951a,https://www.semanticscholar.org/paper/20a7b1e274aff828466bba3760992aa54e14951a,How Does Generative Retrieval Scale to Millions of Passages?,"Popularized by the Differentiable Search Index, the emerging paradigm of generative retrieval re-frames the classic information retrieval problem into a sequence-to-sequence modeling task, forgoing external indices and encoding an entire document corpus within a single Transformer. Although many different approaches have been proposed to improve the effectiveness of generative retrieval, they have only been evaluated on document corpora on the order of 100k in size. We conduct the first empirical study of generative retrieval techniques across various corpus scales, ultimately scaling up to the entire MS MARCO passage ranking task with a corpus of 8.8M passages and evaluating model sizes up to 11B parameters. We uncover several findings about scaling generative retrieval to millions of passages; notably, the central importance of using synthetic queries as document representations during indexing, the ineffectiveness of existing proposed architecture modifications when accounting for compute cost, and the limits of naively scaling model parameters with respect to retrieval performance. While we find that generative retrieval is competitive with state-of-the-art dual encoders on small corpora, scaling to millions of passages remains an important and unsolved challenge. We believe these findings will be valuable for the community to clarify the current state of generative retrieval, highlight the unique challenges, and inspire new research directions.",Conference on Empirical Methods in Natural Language Processing,2023.0,51,26,"[{'authorId': '1816753042', 'name': 'Ronak Pradeep'}, {'authorId': '47214884', 'name': 'Kai Hui'}, {'authorId': '143702064', 'name': 'Jai Gupta'}, {'authorId': '143828990', 'name': 'Á. Lelkes'}, {'authorId': '39371343', 'name': 'Honglei Zhuang'}, {'authorId': '145580839', 'name': 'Jimmy J. Lin'}, {'authorId': '1680617', 'name': 'Donald Metzler'}, {'authorId': '2057663102', 'name': 'Vinh Q. Tran'}]"
37536416c0da8751409a3289ac6b6355c7d61d0c,https://www.semanticscholar.org/paper/37536416c0da8751409a3289ac6b6355c7d61d0c,What Do Llamas Really Think? Revealing Preference Biases in Language Model Representations,"Do large language models (LLMs) exhibit sociodemographic biases, even when they decline to respond? To bypass their refusal to""speak,""we study this research question by probing contextualized embeddings and exploring whether this bias is encoded in its latent representations. We propose a logistic Bradley-Terry probe which predicts word pair preferences of LLMs from the words' hidden vectors. We first validate our probe on three pair preference tasks and thirteen LLMs, where we outperform the word embedding association test (WEAT), a standard approach in testing for implicit association, by a relative 27% in error rate. We also find that word pair preferences are best represented in the middle layers. Next, we transfer probes trained on harmless tasks (e.g., pick the larger number) to controversial ones (compare ethnicities) to examine biases in nationality, politics, religion, and gender. We observe substantial bias for all target classes: for instance, the Mistral model implicitly prefers Europe to Africa, Christianity to Judaism, and left-wing to right-wing politics, despite declining to answer. This suggests that instruction fine-tuning does not necessarily debias contextualized embeddings. Our codebase is at https://github.com/castorini/biasprobe.",arXiv.org,2023.0,41,3,"[{'authorId': '26917433', 'name': 'Raphael Tang'}, {'authorId': '2118895402', 'name': 'Xinyu Crystina Zhang'}, {'authorId': '145580839', 'name': 'Jimmy J. Lin'}, {'authorId': '52416773', 'name': 'Ferhan Ture'}]"
3a14af18549daee147c6c747592be314418eeac3,https://www.semanticscholar.org/paper/3a14af18549daee147c6c747592be314418eeac3,Evaluating Embedding APIs for Information Retrieval,"The ever-increasing size of language models curtails their widespread access to the community, thereby galvanizing many companies and startups into offering access to large language models through APIs. One particular API, suitable for dense retrieval, is the semantic embedding API that builds vector representations of a given text. With a growing number of APIs at our disposal, in this paper, our goal is to analyze semantic embedding APIs in realistic retrieval scenarios in order to assist practitioners and researchers in finding suitable services according to their needs. Specifically, we wish to investigate the capabilities of existing APIs on domain generalization and multilingual retrieval. For this purpose, we evaluate the embedding APIs on two standard benchmarks, BEIR, and MIRACL. We find that re-ranking BM25 results using the APIs is a budget-friendly approach and is most effective on English, in contrast to the standard practice, i.e., employing them as first-stage retrievers. For non-English retrieval, re-ranking still improves the results, but a hybrid model with BM25 works best albeit at a higher cost. We hope our work lays the groundwork for thoroughly evaluating APIs that are critical in search and more broadly, in information retrieval.",Annual Meeting of the Association for Computational Linguistics,2023.0,40,12,"[{'authorId': '2023642', 'name': 'Ehsan Kamalloo'}, {'authorId': '2118895402', 'name': 'Xinyu Crystina Zhang'}, {'authorId': '2166106776', 'name': 'Odunayo Ogundepo'}, {'authorId': '47583894', 'name': 'Nandan Thakur'}, {'authorId': '1419474794', 'name': 'David Alfonso-Hermelo'}, {'authorId': '2066076226', 'name': 'Mehdi Rezagholizadeh'}, {'authorId': '145580839', 'name': 'Jimmy J. Lin'}]"
3f8d51ad39f260f57280995f80dcfa29f5d26343,https://www.semanticscholar.org/paper/3f8d51ad39f260f57280995f80dcfa29f5d26343,SPRINT: A Unified Toolkit for Evaluating and Demystifying Zero-shot Neural Sparse Retrieval,"Traditionally, sparse retrieval systems relied on lexical representations to retrieve documents, such as BM25, dominated information retrieval tasks. With the onset of pre-trained transformer models such as BERT, neural sparse retrieval has led to a new paradigm within retrieval. Despite the success, there has been limited software supporting different sparse retrievers running in a unified, common environment. This hinders practitioners from fairly comparing different sparse models and obtaining realistic evaluation results. Another missing piece is, that a majority of prior work evaluates sparse retrieval models on in-domain retrieval, i.e. on a single dataset: MS MARCO. However, a key requirement in practical retrieval systems requires models that can generalize well to unseen out-of-domain, i.e. zero-shot retrieval tasks. In this work, we provide SPRINT, a unified python toolkit based on Pyserini and Lucene, supporting a common interface for evaluating neural sparse retrieval. The toolkit currently includes five built-in models: uniCOIL, DeepImpact, SPARTA, TILDEv2 and SPLADEv2. Users can also easily add customized models by defining their term weighting method. Using our toolkit, we establish strong and reproducible zero-shot sparse retrieval baselines across the well-acknowledged benchmark, BEIR. Our results demonstrate that SPLADEv2 achieves the best average score of 0.470 nDCG@10 on BEIR amongst all neural sparse retrievers. In this work, we further uncover the reasons behind its performance gain. We show that SPLADEv2 produces sparse representations with a majority of tokens outside of the original query and document which is often crucial for its performance gains, i.e. a limitation among its other sparse counterparts. We provide our SPRINT toolkit, models, and data used in our experiments publicly here: https://github.com/thakur-nandan/sprint.",Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,2023.0,55,1,"[{'authorId': '47583894', 'name': 'Nandan Thakur'}, {'authorId': '2124617718', 'name': 'Kexin Wang'}, {'authorId': '1730400', 'name': 'Iryna Gurevych'}, {'authorId': '145580839', 'name': 'Jimmy J. Lin'}]"
4267ba44ced8e2c6afa39547aa6657aef62502e1,https://www.semanticscholar.org/paper/4267ba44ced8e2c6afa39547aa6657aef62502e1,"Scaling Down, LiTting Up: Efficient Zero-Shot Listwise Reranking with Seq2seq Encoder-Decoder Models","Recent work in zero-shot listwise reranking using LLMs has achieved state-of-the-art results. However, these methods are not without drawbacks. The proposed methods rely on large LLMs with billions of parameters and limited context sizes. This paper introduces LiT5-Distill and LiT5-Score, two methods for efficient zero-shot listwise reranking, leveraging T5 sequence-to-sequence encoder-decoder models. Our approaches demonstrate competitive reranking effectiveness compared to recent state-of-the-art LLM rerankers with substantially smaller models. Through LiT5-Score, we also explore the use of cross-attention to calculate relevance scores to perform reranking, eliminating the reliance on external passage relevance labels for training. We present a range of models from 220M parameters to 3B parameters, all with strong reranking results, challenging the necessity of large-scale models for effective zero-shot reranking and opening avenues for more efficient listwise reranking solutions. We provide code and scripts to reproduce our results at https://github.com/castorini/LiT5.",arXiv.org,2023.0,25,4,"[{'authorId': '2124417361', 'name': 'M. Tamber'}, {'authorId': '1816753042', 'name': 'Ronak Pradeep'}, {'authorId': '145580839', 'name': 'Jimmy J. Lin'}]"
5605e5bbe71a6d52be0930865f1635ed8644dea8,https://www.semanticscholar.org/paper/5605e5bbe71a6d52be0930865f1635ed8644dea8,RankZephyr: Effective and Robust Zero-Shot Listwise Reranking is a Breeze!,"In information retrieval, proprietary large language models (LLMs) such as GPT-4 and open-source counterparts such as LLaMA and Vicuna have played a vital role in reranking. However, the gap between open-source and closed models persists, with reliance on proprietary, non-transparent models constraining reproducibility. Addressing this gap, we introduce RankZephyr, a state-of-the-art, open-source LLM for listwise zero-shot reranking. RankZephyr not only bridges the effectiveness gap with GPT-4 but in some cases surpasses the proprietary model. Our comprehensive evaluations across several datasets (TREC Deep Learning Tracks; NEWS and COVID from BEIR) showcase this ability. RankZephyr benefits from strategic training choices and is resilient against variations in initial document ordering and the number of documents reranked. Additionally, our model outperforms GPT-4 on the NovelEval test set, comprising queries and passages past its training period, which addresses concerns about data contamination. To foster further research in this rapidly evolving field, we provide all code necessary to reproduce our results at https://github.com/castorini/rank_llm.",arXiv.org,2023.0,40,12,"[{'authorId': '1816753042', 'name': 'Ronak Pradeep'}, {'authorId': '71076877', 'name': 'Sahel Sharifymoghaddam'}, {'authorId': '145580839', 'name': 'Jimmy J. Lin'}]"
610bfeb562ce11cd3a6e7588427daf489e3b4e94,https://www.semanticscholar.org/paper/610bfeb562ce11cd3a6e7588427daf489e3b4e94,Simple Yet Effective Neural Ranking and Reranking Baselines for Cross-Lingual Information Retrieval,"The advent of multilingual language models has generated a resurgence of interest in cross-lingual information retrieval (CLIR), which is the task of searching documents in one language with queries from another. However, the rapid pace of progress has led to a confusing panoply of methods and reproducibility has lagged behind the state of the art. In this context, our work makes two important contributions: First, we provide a conceptual framework for organizing different approaches to cross-lingual retrieval using multi-stage architectures for mono-lingual retrieval as a scaffold. Second, we implement simple yet effective reproducible baselines in the Anserini and Pyserini IR toolkits for test collections from the TREC 2022 NeuCLIR Track, in Persian, Russian, and Chinese. Our efforts are built on a collaboration of the two teams that submitted the most effective runs to the TREC evaluation. These contributions provide a firm foundation for future advances.",arXiv.org,2023.0,53,3,"[{'authorId': '145580839', 'name': 'Jimmy J. Lin'}, {'authorId': '1419474794', 'name': 'David Alfonso-Hermelo'}, {'authorId': '2167031295', 'name': 'Vitor Jeronymo'}, {'authorId': '2023642', 'name': 'Ehsan Kamalloo'}, {'authorId': '2131640257', 'name': 'Carlos Lassance'}, {'authorId': '143744603', 'name': 'Rodrigo Nogueira'}, {'authorId': '2166106776', 'name': 'Odunayo Ogundepo'}, {'authorId': '2066076226', 'name': 'Mehdi Rezagholizadeh'}, {'authorId': '47583894', 'name': 'Nandan Thakur'}, {'authorId': '2109723027', 'name': 'Jheng-Hong Yang'}, {'authorId': '2118895402', 'name': 'Xinyu Crystina Zhang'}]"
