paperId,url,title,abstract,venue,year,referenceCount,citationCount,authors
0f8597d3b6279d5f68cd90e1987029336e9ba940,https://www.semanticscholar.org/paper/0f8597d3b6279d5f68cd90e1987029336e9ba940,Interaction Knowledge: Understanding the ‘Mechanics’ of Digital Tools,"User interfaces typically feature tools to act on objects and rely on the ability of users to discover or learn how to interact with them. Previous work in HCI has used the Theory of Affordances to explain how users understand the possibilities for action in digital environments. A complementary theory from cognitive neuroscience, Technical Reasoning, posits that users accumulate abstract knowledge of object properties and technical principles known as mechanical knowledge, essential in tool use. Drawing from this theory, we introduce interaction knowledge as the “mechanical” knowledge of digital environments. We provide evidence of its relevance by reporting on an experiment where participants performed tasks in a digital environment with ambiguous possibilities for interaction. We analyze how interaction knowledge was transferred across two digital domains, text editing and graphical editing, and conclude that interaction knowledge models an essential type of knowledge for interacting in the digital world.",International Conference on Human Factors in Computing Systems,2023,43,1,"[{'authorId': '1666628811', 'name': 'Miguel A. Renom'}, {'authorId': '2046048', 'name': 'Baptiste Caramiaux'}, {'authorId': '1401678555', 'name': 'M. Beaudouin-Lafon'}]"
299057c27ad8083db9ed2b2f9cddeac8e6cf7335,https://www.semanticscholar.org/paper/299057c27ad8083db9ed2b2f9cddeac8e6cf7335,Beyond Applications: Interaction Substrates and Instruments,"This paper introduces a new interaction model based on the concepts of interaction substrate for organizing digital information and interaction instruments for manipulating these substrates. This approach makes the concept of application unnecessary. Instead, it leads to flexible and extensible environments in which users can combine content at will and choose the tools they need to manipulate it. We present Stratify, a proof-of-concept implementation that combines a data-reactive approach to specify relationships among digital objects with a functional-reactive approach to handle interaction. This combination enables the creation of rich information substrates that can be freely inspected and modified, as well as interaction instruments that are decoupled from the objects they interact with, making it possible to use instruments with objects they were not designed for. We illustrate the flexibility of the approach with several examples and present directions for future work.",Interaction Homme-Machine,2023,52,0,"[{'authorId': '1401678555', 'name': 'M. Beaudouin-Lafon'}]"
3b0fd8671f6d0724c234c3e5125946b572624d72,https://www.semanticscholar.org/paper/3b0fd8671f6d0724c234c3e5125946b572624d72,Mirrorverse: Live Tailoring of Video Conferencing Interfaces,"How can we let users adapt video-based meetings as easily as they rearrange furniture in a physical meeting room? We describe a design space for video conferencing systems that includes a five-step “ladder of tailorability,” from minor adjustments to live reprogramming of the interface. We then present Mirrorverse and show how it applies the principles of computational media to support live tailoring of video conferencing interfaces to accommodate highly diverse meeting situations. We present multiple use scenarios, including a virtual workshop, an online yoga class, and a stand-up team meeting to evaluate the approach and demonstrate its potential for new, remote meetings with fluid transitions across activities.",ACM Symposium on User Interface Software and Technology,2023,62,1,"[{'authorId': '1404543550', 'name': 'J. Grønbæk'}, {'authorId': '40977971', 'name': 'Marcel Borowski'}, {'authorId': '1720793', 'name': 'Eve E. Hoggan'}, {'authorId': '1732917', 'name': 'W. Mackay'}, {'authorId': '1401678555', 'name': 'M. Beaudouin-Lafon'}, {'authorId': '3027683', 'name': 'C. Klokmose'}]"
47c2eb6383704949e5710e34a5d918efd8dc83aa,https://www.semanticscholar.org/paper/47c2eb6383704949e5710e34a5d918efd8dc83aa,Lorgnette: Creating Malleable Code Projections,"Projections of computer languages are tools that help users interact with representations that better fit their needs than plain text. We collected 62 projections from the literature and from a design workshop and found that 60% of them can be implemented using a table, a graph or a form. However, projections are often hardcoded for specific languages and situations, and in most cases only the developers of a code editor can create or adapt projections, leaving no room for appropriation by their users. We introduce lorgnette, a new framework for letting programmers augment their code editor with projections. We demonstrate five examples that use lorgnette to create projections that can be reused in new contexts. We discuss how this approach could help democratise projections and conclude with future work.",ACM Symposium on User Interface Software and Technology,2023,85,0,"[{'authorId': '66701993', 'name': 'Camille Gobert'}, {'authorId': '1401678555', 'name': 'M. Beaudouin-Lafon'}]"
80b00aa9418dd23485dfaa3f9942e15a93fa79c8,https://www.semanticscholar.org/paper/80b00aa9418dd23485dfaa3f9942e15a93fa79c8,Telepresence Systems for Large Interactive Spaces,"The need to analyze and manipulate large datasets and perform complex tasks with computers has increased interest in wall-sized displays and virtual reality systems. As such environments become more common, the need to support telepresence across these large interactive spaces becomes critical for remote collaboration. In this workshop paper, we present our past work on remote collaboration, telepresence and large interactive spaces as well as our ongoing projects to support telepresence in such spaces for face-to-face and side-by-side collaboration.",,2023,13,0,"[{'authorId': '2273003369', 'name': 'Cédric Fleury'}, {'authorId': '2284713788', 'name': 'Ignacio Avellino'}, {'authorId': '1401678555', 'name': 'M. Beaudouin-Lafon'}, {'authorId': '1732917', 'name': 'W. Mackay'}]"
db2a802ec7c7e04fa2e4181dd3918bc5027e3921,https://www.semanticscholar.org/paper/db2a802ec7c7e04fa2e4181dd3918bc5027e3921,Telepresence Systems for Large Interactive Spaces,"The need to analyze and manipulate large datasets and perform complex tasks with computers has increased interest in wall-sized displays and virtual reality systems. As such environments become more common, the need to support telepresence across these large interactive spaces becomes critical for remote collaboration. In this workshop paper, we present our past work on remote collaboration, telepresence and large interactive spaces as well as our ongoing projects to support telepresence in such spaces for face-to-face and side-by-side collaboration.",,2023,13,0,"[{'authorId': '2273003369', 'name': 'Cédric Fleury'}, {'authorId': '2284713788', 'name': 'Ignacio Avellino'}, {'authorId': '1401678555', 'name': 'M. Beaudouin-Lafon'}, {'authorId': '1732917', 'name': 'W. Mackay'}]"
6e8bf301fc8a234179c1a1c42908454d18ad7865,https://www.semanticscholar.org/paper/6e8bf301fc8a234179c1a1c42908454d18ad7865,Bayesian Methods for Interaction and Design,"Intended for researchers and practitioners in interaction design, this book shows how Bayesian models can be brought to bear on problems of interface design and user modelling. It introduces and motivates Bayesian modelling and illustrates how powerful these ideas can be in thinking about human-computer interaction, especially in representing and manipulating uncertainty. Bayesian methods are increasingly practical as computational tools to implement them become more widely available, and offer a principled foundation to reason about interaction design. The book opens with a self-contained tutorial on Bayesian concepts and their practical implementation, tailored for the background and needs of interaction designers. The contributed chapters cover the use of Bayesian probabilistic modelling in a diverse set of applications, including improving pointing-based interfaces; efficient text entry using modern language models; advanced interface design using cutting-edge techniques in Bayesian optimisation; and Bayesian approaches to modelling the cognitive processes of users.",,2022,38,4,"[{'authorId': '1401678555', 'name': 'M. Beaudouin-Lafon'}, {'authorId': '2288932769', 'name': 'Xiaojun Bi'}, {'authorId': '2289059032', 'name': 'Daniel Buschek'}, {'authorId': '2289056542', 'name': 'Toby Chong'}, {'authorId': '2249485504', 'name': 'J. Corander'}, {'authorId': '2289058902', 'name': 'Alan Dix'}, {'authorId': '2237673086', 'name': 'J. Dudley'}, {'authorId': '2289055402', 'name': 'Dylan Gaines'}, {'authorId': '2289052736', 'name': 'Jussi P. P. Jokinen'}, {'authorId': '2065126741', 'name': 'J. Williamson'}, {'authorId': '2063973671', 'name': 'A. Oulasvirta'}, {'authorId': '2237674591', 'name': 'P. O. Kristensson'}, {'authorId': '2289058737', 'name': 'N. Banovic'}, {'authorId': '2288883638', 'name': 'Yuki Koyama'}, {'authorId': '2504390', 'name': 'T. Kujala'}, {'authorId': '2289098053', 'name': 'Byungjoo Lee'}, {'authorId': '2116007632', 'name': 'Wanyu Liu'}, {'authorId': '1402170019', 'name': 'R. Murray-Smith'}, {'authorId': '2218103116', 'name': 'Francesco Tonolini'}]"
8e09b71adfb50d48244b841f64dc732ed85554a3,https://www.semanticscholar.org/paper/8e09b71adfb50d48244b841f64dc732ed85554a3,Exploring Technical Reasoning in Digital Tool Use,"The Technical Reasoning hypothesis in cognitive neuroscience posits that humans engage in physical tool use by reasoning about mechanical interactions among objects. By modeling the use of objects as tools based on their abstract properties, this theory explains how tools can be re-purposed beyond their assigned function. This paper assesses the relevance of Technical Reasoning to digital tool use. We conducted an experiment with 16 participants that forced them to re-purpose commands to complete a text layout task. We analyzed self-reported scores of creative personality and experience with text editing, and found a significant association between re-purposing performance and creativity, but not with experience. Our results suggest that while most participants engaged in Technical Reasoning to re-purpose digital tools, some experienced “functional fixedness.” This work contributes Technical Reasoning as a theoretical model for the design of digital tools.",International Conference on Human Factors in Computing Systems,2022,46,3,"[{'authorId': '1666628811', 'name': 'Miguel A. Renom'}, {'authorId': '2046048', 'name': 'Baptiste Caramiaux'}, {'authorId': '1401678555', 'name': 'M. Beaudouin-Lafon'}]"
9f7a3cbf0c63f07db08f0cb55fe71ff2ddd7003b,https://www.semanticscholar.org/paper/9f7a3cbf0c63f07db08f0cb55fe71ff2ddd7003b,Select or Suggest? Reinforcement Learning-based Method for High-Accuracy Target Selection on Touchscreens,"Suggesting multiple target candidates based on touch input is a possible option for high-accuracy target selection on small touchscreen devices. But it can become overwhelming if suggestions are triggered too often. To address this, we propose SATS, a Suggestion-based Accurate Target Selection method, where target selection is formulated as a sequential decision problem. The objective is to maximize the utility: the negative time cost for the entire target selection procedure. The SATS decision process is dictated by a policy generated using reinforcement learning. It automatically decides when to provide suggestions and when to directly select the target. Our user studies show that SATS reduced error rate and selection time over Shift [51], a magnification-based method, and MUCS, a suggestion-based alternative that optimizes the utility for the current selection. SATS also significantly reduced error rate over BayesianCommand [58], which directly selects targets based on posteriors, with only a minor increase in selection time.",International Conference on Human Factors in Computing Systems,2022,61,3,"[{'authorId': '2127157869', 'name': 'Zhi Li'}, {'authorId': '2124975013', 'name': 'Maozheng Zhao'}, {'authorId': '2163710078', 'name': 'Dibyendu Das'}, {'authorId': '2146232456', 'name': 'Hang Zhao'}, {'authorId': '2148987503', 'name': 'Yan Ma'}, {'authorId': '2116007632', 'name': 'Wanyu Liu'}, {'authorId': '1401678555', 'name': 'M. Beaudouin-Lafon'}, {'authorId': '2163738415', 'name': 'Fusheng Wang'}, {'authorId': '2106368959', 'name': 'I. Ramakrishnan'}, {'authorId': '49997317', 'name': 'Xiaojun Bi'}]"
b0caa728a066f9939be3c52c7ecaa60f660040b6,https://www.semanticscholar.org/paper/b0caa728a066f9939be3c52c7ecaa60f660040b6,Passages: Interacting with Text Across Documents,"A key aspect of knowledge work is the analysis and manipulation of sets of related documents. We conducted interviews with 12 patent examiners and 12 scientists and found that all face difficulties using specialized tools for managing text from multiple documents across interconnected activities, including searching, collecting, annotating, organizing, writing and reviewing, while manually tracking their provenance. We introduce Passages, interactive objects that reify text selections and can then be manipulated, reused, and shared across multiple tools. Passages directly supports the above-listed activities as well as fluid transitions among them. Two user studies show that participants found Passages both elegant and powerful, facilitating their work practices and enabling greater reuse and novel strategies for analyzing and composing documents. We argue that Passages offers a general approach applicable to a wide variety of text-based interactions.",International Conference on Human Factors in Computing Systems,2022,101,15,"[{'authorId': '1996200457', 'name': 'Han L. Han'}, {'authorId': '2163748014', 'name': 'Junhang Yu'}, {'authorId': '2163708680', 'name': 'Raphael Bournet'}, {'authorId': '2163708260', 'name': 'Alexandre Ciorascu'}, {'authorId': '1732917', 'name': 'W. Mackay'}, {'authorId': '1401678555', 'name': 'M. Beaudouin-Lafon'}]"
